Country,Employment,ConvertedComp,EdLevel,YearsCodePro
United States,Employed full-time,116000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13
United Kingdom,Employed full-time,32315.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4
United Kingdom,Employed full-time,40070.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Spain,Employed full-time,14268.0,Some college/university study without earning a degree,7
Netherlands,Employed full-time,38916.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20
United States,Employed full-time,66000.0,"Associate degree (A.A., A.S., etc.)",1
United Kingdom,"Independent contractor, freelancer, or self-employed",108576.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23
United States,Employed full-time,79000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
United States,Employed full-time,1260000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12
United States,Employed full-time,83400.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
Germany,Employed full-time,91883.0,"Professional degree (JD, MD, etc.)",20
Canada,Employed full-time,71093.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
United Kingdom,Employed full-time,38778.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Canada,Employed full-time,31764.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
Belgium,Employed full-time,63564.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14
United Kingdom,Employed full-time,77556.0,Some college/university study without earning a degree,3
Italy,Employed full-time,97288.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12
United States,Employed full-time,106000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20
United States,Employed full-time,130000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
United States,Employed full-time,135000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",29
Brazil,Employed full-time,55893.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6
France,Employed full-time,36753.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2
France,Employed full-time,37834.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4
United Kingdom,Employed full-time,74970.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",28
United States,Employed full-time,125000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8
United States,Employed full-time,52000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Canada,Employed full-time,103615.0,Some college/university study without earning a degree,7
United Kingdom,Employed full-time,90482.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6
United States,Employed full-time,160000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23
United States,Employed full-time,1620000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23
Brazil,Employed full-time,16488.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15
United Kingdom,Employed full-time,94359.0,Some college/university study without earning a degree,13
United States,Employed full-time,1176000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14
United States,Employed full-time,250000.0,"Professional degree (JD, MD, etc.)",15
France,Employed full-time,594539.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3
United Kingdom,"Independent contractor, freelancer, or self-employed",124092.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11
United States,Employed full-time,94500.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7
United States,Employed full-time,117000.0,"Associate degree (A.A., A.S., etc.)",25
Poland,Employed full-time,3036.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Less than 1 year
France,"Independent contractor, freelancer, or self-employed",108100.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
United States,Employed full-time,130000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Indonesia,Employed full-time,61476.0,Some college/university study without earning a degree,2
France,Employed full-time,57292.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
